网站名,品类,商家名称,地址,评分,人均消费
美团,美食,蒸膳舫海鲜蒸汽,台江区振武路55号三迪中心商场二楼,4.6,142
美团,美食,北疆饭店（万象城店）,台江区工业路378号万象城4层,4.2,64
美团,美食,优美乐蛋糕屋,台江区苍霞街道蓝钻街10号店（万侯园1号楼底商）,5,55
美团,美食,独一风木桶喷泉火锅（福州直营店）,台江区怡园巷工业路360号,4.4,69
美团,美食,阳澄湖渔夫大闸蟹（鳌峰店）,台江区金融街万达广场对面鳌峰小区5楼,4,75
美团,美食,韩美味（群众路店）,台江区群众路292号,5,18
美团,美食,Hunt season狩猎季（万科里店）,台江区白马支路与西洋路交叉口万科里广场内,3.7,95
美团,美食,四道菜·现撬海蛎煎（东百优品城店）,台江区台江路95号东百优品城4楼,4.1,51
美团,美食,转角遇到蚵仔煎（宝龙店）,台江区工业路宝龙城市广场负一楼200号,3.4,24
美团,美食,大叔食堂小二烧肉（群众路店）,台江区群众路53-14号,4.4,104
美团,美食,韩娘韩国料理（中亭街店）,台江区洋中街道学军路1号群升国际1楼1层22店面（怡丰小区对面）,4.2,45
美团,美食,咕叽咕鸡·手撕蒸鸡（苏宁广场店）,台江区宁化街道工业路233号福州苏宁广场B14地块地下1层B113号商铺,5,39
美团,美食,CHIC 100远洋私厨（融侨中心店）,台江区江滨西大道100号融侨中心ARTMALL4楼（皇冠假日酒店）,5,225
美团,美食,福州富力威斯汀酒店中国元素餐厅,台江区江滨中大道366号富力威斯汀酒店5楼,4.8,197
美团,美食,云彩蛋糕,台江区河下街河下小区2号楼云彩蛋糕（童乐幼儿园旁边）,4.5,119
美团,美食,雅·精致和风料理,晋安区连江北路东二环泰禾广场15号楼2层227、228室,4.8,169
美团,美食,越城记黑鱼煲（世欧广场店）,晋安区长河路88号世欧广场北区417,4.9,56
美团,美食,刘福记北京烤鸭（晋安店）,晋安区岳峰南路4号,5,45
美团,美食,壹合先生的食堂（东二环泰禾店）,晋安区连江北路与化工路交叉处东2环泰禾城市广(13号楼1-2层03商铺（临近老凤祥黄金）,4.4,43
美团,美食,小叫天泡椒活田鸡（大名城店）,晋安区王庄街道福飞路159号福晟钱融首府8#1楼一层,5,45
美团,美食,玛格利塔现烤披萨（前横店）,晋安区鼓山镇后屿路23号福兴楼一楼1-21店面,4.4,20
美团,美食,禄合門美蛙火锅（福州店）,晋安区福新中路322–324号（速8酒店旁）,3.5,86
美团,美食,袁记串串香,晋安区六一北路129号（洋下新村公交车站旁）,5,59
美团,美食,华莱士（龙城广场店）,晋安区华林路389号龙城广场1楼17号店面,4.6,14
美团,美食,古典玫瑰园（五四北店）,晋安区秀峰路188号闽台AD创意园6栋五四北会员中心（闽台AD创意园6栋阳光房）,4.3,101
美团,美食,二回熟台式涮涮锅（世欧王庄店）,晋安区长乐路世欧广场3楼A3-3-3店铺,5,60
美团,美食,OK海鲜自助餐厅（五四北旗舰店）,晋安区秀峰路泰禾广场5楼,4.5,80
美团,美食,旺巴蜀小郡肝火锅串串香（东二环泰禾店）,晋安区连江北路泰禾新天地13号楼116号,3.8,80
美团,美食,苏打小姐（世欧天虹店）,晋安区世欧广场南区天虹百货3楼世欧广场与天虹百货连通口,5,12
美团,美食,华丰贺氏（塔头店）,晋安区岳峰镇塔头路3号（近塔头车站）,4.2,18
美团,美食,ESK Restaurant&Bar宜斯厨房（东二环泰禾店）,晋安区东二环泰禾广场21号楼二层207-208（85度C旁扶梯上二楼直走20米）,4.6,94
美团,美食,汉堡王（五四北泰禾店）,晋安区五四北秀峰路泰禾广场3A08,4.2,32
美团,美食,花潮日料艺食馆,晋安区晋连路世欧广场南区5楼9-11号,4.5,236
美团,美食,老福洲徐记（福新店）,晋安区岳峰镇福新中路90号新华园1楼（新紫阳大酒店斜对面）,3.4,66
美团,美食,慕客经典慕斯蛋糕（鼓山店）,晋安区前屿东路36-24号（君临东城底商）,5,100
美团,美食,桥亭活鱼小镇（鼓山沃尔玛店）,晋安区鼓山沃尔玛四楼（乘观光电梯直达四楼，近大梦敦煌KTV）,4.2,50
美团,美食,双椒汇（李七恭）山城老火锅,晋安区福新中路42号,4.4,88
美团,美食,潮福城大酒楼（秀山路店）,晋安区秀山路317号北尚大厦（金城商业中心一楼）,4.4,77
美团,美食,玛格利塔（金晖新村店）,晋安区连江北路589号金晖新村19座11号,5,22
美团,美食,汕之膳叶记汕头牛肉火锅（五四北店）,晋安区秀峰路188号闽台广告创意园坂中路沿街商铺41#,4.3,72
美团,美食,星洲蕉叶（泰禾店）,晋安区泰禾广场4楼,4.5,104
美团,美食,咕叽咕鸡·手撕蒸鸡（秀山店）,晋安区新店镇秀山路198号康城二期15楼1层04店面,5,40
美团,美食,新天然居筒骨店（六一北路店）,晋安区六一北路216号（新闻大厦斜对面）,3.8,72
美团,美食,吉野家（华林路店）,晋安区华林路鑫满大厦一楼六号店面,3.7,22
美团,美食,烹然四季椰子鸡（王庄店）,晋安区晋连路19号福州世欧广场A4座第5层1号商铺,4.2,98
美团,美食,炙景台烧肉居酒屋（东二环泰禾店）,晋安区连江北路东二环泰禾水秀广场一楼（85°C旁）,4.2,98
美团,美食,T8法式观景餐厅（东二环泰禾店）,晋安区连江北路东二环泰禾城市广场SOHO8号楼21层2119室,3.9,183
美团,美食,德庄火锅（王庄店）,晋安区长乐中路155号世欧广场北区4楼,4.4,82
美团,美食,光遇餐吧,晋安区岳峰镇竹屿路6号东二环泰禾广场20号楼101（音乐天空餐厅旁边）,5,89
美团,美食,麦屯,晋安区华林路268号侨益大厦1层01店面,5,48
美团,美食,炮哥海鲜楼,晋安区连江中路168号日升中学旁（电视中心对面）,4.5,51
美团,美食,渡鲑亭,晋安区连江北路东二环泰禾广场新天地13号楼2楼229,5,231
美团,美食,东南蛋糕,晋安区秀山路316号北尚B区14号楼17座,4.6,20
美团,美食,天祥海鲜大酒楼（鼓山店）,晋安区鼓山镇连洋路123号好来屋星光大道13座3层（近星光大道商业步行街）,3.8,123
美团,美食,basilic frais 意大利餐厅,晋安区东二环泰禾广场12号楼1层（凯宾斯基斜对面）,3,120
美团,美食,水果捞 Fruity Mix,晋安区世欧广场北区B1楼B1-26店,4.5,26
美团,美食,豪享来（华林店）,晋安区华林路303号铂晶时代一层,3.3,57
美团,美食,赤炭日式烧肉（世欧店）,晋安区长河路88号世欧广场南区4楼9号,5,142
美团,美食,85度C（福州钱隆首府店）,晋安区紫阳路福晟钱隆首府8号1层42号店面,4,28
美团,美食,多乐之日（五四北泰禾广场店）,晋安区秀峰路188号五四北泰禾广场泰禾天街1层5-20/22,3.9,25
美团,美食,赤炭日式烧肉（世欧店）,晋安区长河路88号世欧广场南区4楼9号,5,142
美团,美食,大丰收鱼庄（五四北泰禾广场店）,晋安区秀峰路188号五四北泰禾广场5层,3.5,83
美团,美食,森林公园自由人BBQ烧烤乐园,晋安区新店上赤桥（森林公园正门斜对面）,4.3,62
美团,美食,新天然居筒骨店（华林路总店）,晋安区华林路211号轻安大厦二楼（近测绘大厦）,3.8,68
美团,美食,麦点村蛋糕屋,晋安区乐中路311号,3.7,19
美团,美食,添香楼农家菜,晋安区秀峰路君临香格里D区4号楼1号店（泰禾广场）,4.3,42
美团,美食,德天肥牛海鲜火锅（东二环泰禾店）,晋安区连江北路东二环泰禾广场新天地18号楼3F,4.2,88
美团,美食,茶会吃仙（福新东路店）,晋安区福新东路茶会新村口茶会村委正会对面,3.6,51
美团,美食,汕味馆汕头牛肉火锅（长乐北路店）,晋安区长乐北路瑞城花园4-6号店,5,66
美团,美食,川功夫·川味烤鱼（世欧王庄店）,晋安区长河路88号世欧广场北区4楼,3.4,74
美团,美食,鼓岭农家（招贤路店）,晋安区招贤路8号盛天现代城07-08店（招贤路与前屿东路交叉口）(沃尔玛对面),3.6,58
美团,美食,印象时光咖啡,晋安区远洋路372号蓝湾雅境,4.8,49
美团,美食,令狐冲·窑烤活鱼（东二环泰禾店）,晋安区连江北路与化工路交叉东泰禾广场18号B1层345-349室,3.2,61
美团,美食,汀小府,晋安区前屿东路13号（沃尔玛斜对面，公交站旁）,3.9,46
美团,美食,鑫滋味蛋糕坊（岳峰店）,晋安区连江北路台东桥头农贸市场台东23号店面（喜盈门对面）,3.8,0
美团,美食,大叔食堂南洋料理,仓山区亭头路550-12号闽江新苑7座底商,4.8,83
美团,美食,N多寿司（福建师大店）,仓山区首山路10号（永辉旁边）,5,22
美团,美食,幸福西饼生日蛋糕,仓山区宝山路浦上工业园B区48栋4楼,5,81
美团,美食,南乡·广东顺德菜（融侨里店）,仓山区融侨外滩B区融侨里5号楼2F,4.4,118
美团,美食,储缘蛋糕（三叉街店）,仓山区下藤路龙津花园348号店面,5,50
美团,美食,尊宝比萨（江南水都店）,仓山区上渡街燎原路162号江南水都8期6号楼1层05店面,4.6,35
美团,美食,冰城烤肉（金山店）,仓山区金山大道618-293号（远成三藩里里面）,5,55
美团,美食,小叫天泡椒活田鸡（仓山万达店）,仓山区浦上大道276号万达广场2号门万达金街步行街,4.6,45
美团,美食,玛格利塔（首山店）,仓山区上三路学生街城市广场左侧（首山路口正对面）,4.6,20
美团,美食,魔王猪蹄（仓山万达广场店）,仓山区浦上大道276号仓山万达广场三楼,3,85
美团,美食,三迪华美达茶点餐厅,仓山区金山闽江大道202号（闽江大道与金祥路路口）,4.8,66
美团,美食,台湾平价牛排（展进路店）,仓山区展进路福盛苑13号店面（先锋幼儿园正对面，报刊亭背后，第四家）,5,29
美团,美食,七欣天品蟹轩（仓山金洲南路店）,仓山区金洲南路万达广场A6幢149商铺276号1-2层149商铺（万达车库出口右侧）,4.9,125
美团,美食,华莱士（首一店）,仓山区首山路55号5号店面,4.4,13
美团,美食,汉拿山（仓山万达店）,仓山区浦上大道276号万达广场3层,3.9,97
美团,美食,川蒙烤全羊,仓山区金山金港支路7号泰园7-43店面（仓山万达对面金港公园旁）,4.3,100
美团,美食,虾味龙虾·烤鱼·泡椒田鸡,仓山区对湖街道上三路6号兰庭新天地18#楼1层05店面,4.2,35
美团,美食,映山红海鲜火锅（金山店）,仓山区100花洲路12号御景商务中心1号映山红,4.2,90
美团,美食,谭鸭血老火锅（仓山万达直营店）,仓山区浦上大道276号万达广场一号门旁金街入口直走30米右侧（胡桃里隔壁））,3.3,108
美团,美食,飘香馆,仓山区大坪路184号(老检察院对面),4.1,43
美团,美食,爱家蛋糕屋（生活区店）,仓山区仓山园生活配套房3号楼57号店,5,0
美团,美食,鼎玖香重庆火锅,仓山区金榕北路52号,3.5,80
美团,美食,玛格利塔（首山店）,仓山区上三路学生街城市广场左侧（首山路口正对面）,4.6,20
美团,美食,灰太狼烤羊腿（学生街店）,仓山区首山路程厝东路99号（永辉超市往前50米红绿灯左拐进来50米）,4.1,83
美团,美食,巴四老城区炭火蛙锅（学生街店）,仓山区首山路8号滨海嘉年华G区商业楼2层01店面（仓山镇公交车站旁）,3.8,83
美团,美食,金麦郎蛋糕（金祥路店）,仓山区金山街道金祥路413号丽景天成10号楼,4.8,30
美团,美食,潮福城喜司唛烧腊饼店（中庚店）,仓山区金山街道金康路麒麟苑14座9号店（中庚城对面）,4.3,15
美团,美食,旺巴蜀小郡肝火锅串串香（学生街店）,仓山区上三路85号学生街城市广场85-23二楼,3.6,66
美团,美食,面子传奇（浦上店）,仓山区建新镇高宅路108号好景城1号楼1层17店面,5,11
美团,美食,巷弄小馆,仓山区施铺路43号（旧师大学生街第一个路口左拐20米二楼）,4.6,29
美团,美食,鲜猫海鲜饭（金山万象里店）,仓山区浦上大道306号万象里购物中心一层L126（奈雪的茶隔壁）,3.5,79
美团,美食,烘焙之家（万达店）,仓山区万达闽江新苑7号楼,4.2,74
美团,美食,森山仙草（仓山万达店）,仓山区万达广场金街4号门出口西北行50米（85度C面包店，麦田房产）,4.1,13
美团,美食,炙景台烧肉居酒屋（仓山万达店）,仓山区浦上大道仓山万达1号门金街A252商铺（超级物种和胡桃里对面，哈根达斯旁边）,5,95
美团,美食,瑞可爷爷（红星爱琴海仓山东百店）,仓山区浦上大道198号红星爱琴海购物广场东百区负一楼,4.2,25
美团,美食,里仁为美烘焙（南区店）,仓山区福建农林大学校内南区第八食堂旁边里仁为美烘培店（近和爱购超市）,4.1,10
美团,美食,帅帝音乐餐吧,仓山区洪湾中路金山公园对面蔚蓝广场一层3号店,3.5,57
美团,美食,蒙自源（仓山万达店）,仓山区浦上大道276号仓山万达广场3楼50铺（近金洲南路）,3.4,29
美团,美食,华莱士（金山万达店）,仓山区建新镇金港路36号和园1号楼1层02-1店面,3.7,19
美团,美食,杜老板松茸菌汤火锅（爱琴海购物公园店）,仓山区浦上大道198号爱琴海购物公园5F,4.6,114
美团,美食,宴遇（爱琴海店）,仓山区浦上大道198号（爱琴海购物公园4层）,4.2,102
美团,美食,北京宫爆庭烤鸭,仓山区盖山路健康药房南50米路西,3.5,26
美团,美食,大海山·潭厨·海鲜闽菜餐厅,仓山区联建新苑二区联建路18-3,3.5,50
美团,美食,Mr.FIVE伍氏（师大店）,仓山区上山路师大正对面（师大公交站旁）,4,14
美团,美食,凡塔斯牛排餐厅（仓山万达店）,仓山区浦上大道仓山万达广场室内步行街3楼（1号门入口手扶梯上3楼）,3.6,63
美团,美食,拿坡海（海通广场店）,仓山区三高路海通广场,4,45
美团,美食,爱家蛋糕屋（生活区店）,仓山区仓山园生活配套房3号楼57号店,5,0
美团,美食,爱家蛋糕屋（横二号路店）,仓山区横二号路花溪北路12栋10号（近花溪北路）,5,0
美团,美食,鳗匠 活鳗现烤专门馆（万象里店）,仓山区浦上大道306号仓山华润万象里4楼L402,3.5,78
美团,美食,正宗万州烤鱼重庆鸡公煲,仓山区金山路农林大学校内学生街第二家店面（阿明粥煲店隔壁）,4,30
美团,美食,金麦郎蛋糕（金祥路店）,仓山区金山街道金祥路413号丽景天成10号楼,4.8,30
美团,美食,麦大叔·福建客家菜（华润万象里店）,仓山区浦上大道306号福州仓山万象里4楼,4,88
美团,美食,潮福城喜司唛烧腊饼店（中庚店）,仓山区金山街道金康路麒麟苑14座9号店（中庚城对面）,4.3,15
美团,美食,娇子鱼庄,仓山区首山路57-15号（福建第二轻工业学校门口）,3,40
美团,美食,京禄府北京烤鸭（爱琴海购物公园店）,仓山区浦上大道198号（爱琴海购物公园5楼5009店铺）,4.6,111
美团,美食,彼芝奇比萨（红坊店）,仓山区金工路1号（红坊）海峡创意园3号楼1层3107-3108单元,4.8,48
美团,美食,蜜蕾蛋糕（学生街店）,仓山区对湖街道上三路6号兰庭新天地8#一层10号店面,3.5,27
美团,美食,波西米亚蛋糕（生产中心）,仓山区程埔路6号林森故居背后（学生街）,5,79
美团,美食,咕叽咕鸡·手撕蒸鸡（金山店）,仓山区仓山区金祥路879号橘园洲地铁站C口附近,4.3,53
美团,美食,奶昔烘焙,仓山区东升小区东园二路87号,3.9,80
美团,美食,德克士（东方名城店）,马尾区江滨东大道68号名城港湾二区62座一楼（名城城市广场附近）,5,25
美团,美食,大喜牛潮汕牛肉火锅（马尾店）,马尾区江滨东大道名城中心1881风情街3楼,5,90
美团,美食,经典世家牛排（马尾店）,马尾区江滨东大道68号东方名城永辉超市旁,5,63
美团,美食,醉得意（马尾名城店）,马尾区江滨大道68号名城港湾二区65号楼2层01店面,4.8,41
美团,美食,揽季海物会,马尾区青洲路66号水产市场2楼,5,145
美团,美食,小叫天泡椒活田鸡（水产店）,马尾区济安路97号建设新村4号楼14号店面,4.9,51
美团,美食,安德鲁森（马尾君竹店）,马尾区马尾罗星街沿山东路聚英花园21#店面,5,17
美团,美食,竹取日本料理（东方名城店）,马尾区江滨东大道名城中心1881风情街二楼,5,95
美团,美食,玛格利塔（马尾东方名城店）,马尾区江滨东大道东方名城泊悦府,4.8,21
美团,美食,令狐冲·窑烤活鱼（马尾店）,马尾区马尾街道江滨东大道68号名城港湾二区62#楼1层01-06店面,4.1,62
美团,美食,华莱士（马尾福星店）,马尾区君竹路福星新村5号楼101单元（永辉超市对面）,4.2,18
美团,美食,向阳坊（沿山店）,马尾区沿山路福星新村1号（教育书店旁）永辉超市斜对面（近教育书店）,4.1,11
美团,美食,嘉年大丰收鱼庄（名城中心店）,马尾区江滨东大道68-8号名城中心5楼514室（电影院门口）,4.9,59
美团,美食,汉堡王（马尾名城店）,马尾区江滨东大道68号东方名城东侧,4.2,33
美团,美食,德庄火锅（马尾中环广场店）,马尾区罗星西路中环广场3楼（捌零映象旁）,5,86
美团,美食,华莱士（琅岐店）,马尾区琅岐镇八一七街15号（永辉超市对面）,4,18
美团,美食,十三厢·老成都鲜鹅肠火锅（马尾店）,马尾区江滨东大道68号名城港湾二区62号楼1层,4,100
